time_id,salida_id,tipo_id,almacen_id,vendedor_id,articulo_id,cliente_id,grupo_id,cantidadArticulos,numeroSalidas
20100420,3905,156,7,24,3930,4029,206,2,1
20100724,4593,156,7,20,3890,4290,206,1,1
20100726,6791,156,7,20,3935,4442,206,2,1
20100428,3172,156,7,20,3931,3774,206,1,1
20100430,6227,156,7,24,3930,4029,206,1,1
20100724,4593,156,7,20,3935,4290,206,1,1
20100907,6758,156,7,22,3871,4037,206,1,1
20100429,832,156,7,24,3937,4029,206,1,1
20100509,5663,156,7,20,3931,3879,206,2,1
20100726,6791,156,7,20,3946,4442,206,1,1
20100910,4828,156,7,NULL,3914,NULL,206,2,1
20100513,5875,156,7,20,3938,3995,206,10,1
20100513,5875,156,7,20,3933,3995,206,10,1
20100808,5344,157,7,20,4171,3774,206,2,1
20100910,4828,156,7,NULL,3931,NULL,206,1,1
20100523,4816,156,7,20,3930,3769,206,1,1
20100515,2549,156,7,20,3906,4003,206,2,1
20100907,1995,156,7,20,3935,3782,206,2,1
20101003,3916,156,7,20,3886,4352,206,1,1
20100531,6239,156,7,20,3926,4221,206,1,1
20100531,6239,156,7,20,3946,4221,206,1,1
20100910,846,156,7,20,3936,4119,206,1,1
20101122,2602,156,7,20,3929,4290,206,3,1
20100623,4561,157,7,20,4175,4353,206,1,1
20100612,4923,156,7,20,3905,4442,206,1,1
20100913,2504,156,7,20,3930,4331,206,1,1
20101201,3637,156,7,20,3931,3971,206,2,1
20100709,3766,156,7,20,3920,4433,206,1,1
20100615,4628,156,7,24,3937,4029,206,1,1
20100922,6657,156,7,24,3906,4029,206,1,1
20101221,4933,156,7,20,3935,3769,206,2,1
20100709,3766,156,7,20,3926,4433,206,2,1
20100622,1079,156,7,20,3935,3994,206,1,1
20100929,3578,156,7,NULL,3932,NULL,206,1,1
20101224,3002,156,7,20,3951,4106,206,4,1
20100709,3766,156,7,20,3929,4433,206,2,1
20100709,3330,156,7,20,3936,4003,206,1,1
20101015,6356,156,7,20,3931,3999,206,1,1
20101224,3835,156,7,24,3932,4029,206,1,1
20100709,3766,156,7,20,3961,4433,206,2,1
20100709,3766,156,7,20,3906,4433,206,2,1
20101017,5848,156,7,24,3872,4029,206,1,1
20110124,650,156,7,24,3937,4029,206,1,1
20100712,6057,156,7,20,3936,4287,206,2,1
20100710,6012,156,7,20,3936,4371,206,1,1
20101109,489,156,7,20,3930,4115,206,1,1
20110211,5285,156,7,20,3906,4552,206,1,1
20100724,4593,156,7,20,3930,4290,206,1,1
20100726,1174,156,7,20,3935,3885,206,1,1
20101109,3966,156,7,20,3930,4442,206,1,1
20110302,3438,156,7,20,3930,4003,206,1,1
20100724,4593,156,7,20,3964,4290,206,2,1
20100811,5554,156,7,20,3930,4287,206,1,1
20101112,2967,156,7,20,3930,3971,206,1,1
20110311,5429,156,7,20,3890,4154,206,1,1
20100819,3638,156,7,20,3935,3769,206,1,1
20100830,3507,156,7,20,3930,3939,206,1,1
20101119,3806,156,7,24,3935,4029,206,1,1
20110324,5441,156,7,21,3921,4516,206,3,1
20100901,1508,156,7,20,3930,3881,206,1,1
20100831,5790,156,7,20,3921,3768,206,1,1
20101207,6597,156,7,22,3920,4037,206,2,1
20110405,2956,156,7,NULL,3930,NULL,206,1,1
20100911,662,156,7,20,3910,3971,206,2,1
20100901,1508,156,7,20,3880,3881,206,12,1
20101225,6851,156,7,20,3930,3768,206,1,1
20110411,3860,156,7,20,3916,4119,206,1,1
20100913,4517,156,7,20,3916,4419,206,1,1
20100911,662,156,7,20,3945,3971,206,2,1
20110116,1848,156,7,20,3930,4224,206,1,1
20110430,5244,156,7,20,3911,4544,206,1,1
20100924,1825,156,7,20,3929,4160,206,4,1
20101031,4199,156,7,20,3906,4163,206,2,1
20110217,5358,156,7,21,3931,4516,206,2,1
20110506,6207,156,7,20,3871,4451,206,1,1
20101003,4603,156,7,20,3909,4344,206,4,1
20101116,4453,156,7,24,3961,4029,206,1,1
20110313,4713,156,7,20,3915,3952,206,2,1
20110629,6964,156,7,20,3920,4612,206,1,1
20101122,2602,157,7,20,4159,4290,206,4,1
20101118,7036,156,7,20,3931,3971,206,1,1
20110313,4713,156,7,20,3960,3952,206,2,1
20110906,3569,156,7,20,3921,3999,206,1,1
20101209,2000,156,7,20,3930,4022,206,1,1
20101122,2602,157,7,20,4158,4290,206,1,1
20110316,3543,156,7,24,3931,4029,206,1,1
20110911,6540,156,7,24,3872,4029,206,1,1
20101225,3703,156,7,20,3930,3785,206,1,1
20101218,5214,156,7,20,3931,3879,206,2,1
20110411,4360,157,7,23,4159,3936,206,1,1
20110915,1142,156,8,NULL,3929,NULL,206,10,1
20110114,3120,156,7,20,3914,4290,206,1,1
20110105,2864,156,7,20,3872,4362,206,2,1
20110515,2006,156,7,20,3916,4178,206,1,1
20110915,4740,157,7,20,4171,3954,206,1,1
20110226,1937,157,7,24,4175,4029,206,1,1
20110206,1230,156,7,20,3949,4092,206,1,1
20110823,6008,156,7,20,3931,3908,206,1,1
20111017,3621,156,7,24,3906,4029,206,1,1
20110301,1347,156,7,20,3931,4119,206,2,1
20110214,5065,156,7,22,3929,4037,206,1,1
20110827,1674,156,7,NULL,3936,NULL,206,1,1
20111109,913,157,7,24,4167,4029,206,1,1
20110313,4713,156,7,20,3950,3952,206,1,1
20110217,5358,156,7,21,3891,4516,206,2,1
20111028,1907,156,7,20,3891,4259,206,1,1
20111110,6697,156,7,24,3886,4029,206,1,1
20110324,5441,156,7,21,3916,4516,206,3,1
20110219,4542,156,7,21,3930,4468,206,1,1
20111110,6697,156,7,24,3951,4029,206,1,1
20120226,5570,156,7,24,3930,4029,206,1,1
20110406,918,156,7,20,3921,4165,206,2,1
20110221,2313,156,7,20,3886,4312,206,2,1
20111116,5173,156,7,20,3930,4115,206,1,1
20120322,4168,156,7,20,3909,4344,206,10,1
20110425,1558,156,7,NULL,3921,NULL,206,1,1
20110224,1703,156,7,20,3931,3971,206,2,1
20111210,6833,156,7,20,3930,3769,206,1,1
