NumCars,CustomerID
1,877687
2,877723
2,877757
2,877792
2,877840
2,877988
2,878821
2,878822
2,878842
2,878855
3,878871
1,878907
2,878908
1,878912
3,878919
2,878974
2,878977
2,878993
1,879011
1,879017
2,879020
3,879033
1,879055
2,879061
0,879072
2,879232
1,879264
1,879306
2,879310
2,879403
2,879453
4,879454
2,879478
2,879500
2,879535
2,879889
2,879926
4,881801
2,882315
1,882316
2,882319
1,882320
1,882321
2,882324
1,882325
2,882326
1,882328
2,882330
2,882332
1,882333
2,882336
1,882337
2,882340
2,882341
2,882342
1,882343
1,882346
2,882348
1,882350
2,882351
1,882354
2,882356
2,882357
1,882358
5,882359
1,882360
5,882364
1,882366
2,882367
2,882368
2,882371
2,882372
1,882375
1,882376
2,882377
3,882382
2,882383
2,882387
1,882388
1,882391
2,882392
1,882393
1,882395
2,882397
1,882398
2,882402
1,882403
2,882407
1,882409
4,882410
2,882413
1,882414
2,882415
2,882419
4,882423
1,882424
1,882425
1,882426
0,882428
1,882429
3,882433
1,882434
2,882435
1,882437
5,882439
2,882440
2,882442
2,882444
3,882446
2,882449
1,882451
1,882452
1,882457
2,882459
1,882462
1,882463
1,882464
0,882465
1,882467
3,882469
4,882471
2,882475
2,882476
2,882478
2,882479
2,882481
2,882482
2,882483
1,882484
1,882491
1,882494
2,882497
1,882500
1,882501
3,882503
1,882504
1,882506
3,882507
2,882508
3,882512
2,882515
1,882517
2,882518
2,882521
2,882522
1,882523
1,882527
1,882531
2,882532
2,882535
2,882537
2,882543
2,882545
2,882550
2,882551
2,882553
2,882559
1,882560
2,882563
2,882564
2,882565
2,882569
1,882573
1,882574
1,882576
2,882577
3,882578
0,882581
1,882583
2,882585
3,882587
1,882590
1,882591
2,882593
1,882594
1,882597
3,882599
1,882600
2,882602
2,882607
2,882608
2,882609
1,882612
2,882616
2,882621
1,882622
1,882623
1,882626
1,882627
1,882628
2,882631
4,882632
2,882636
1,882638
1,882639
1,882640
1,882645
1,882648
2,882650
2,882652
1,882656
1,882658
1,882660
2,882666
2,882667
2,882674
1,882677
2,882678
1,882683
1,882684
1,882685
2,882693
1,882694
3,882699
3,882700
2,882701
2,882705
1,882709
1,882713
2,882715
1,882720
2,882721
2,882728
2,882729
1,882731
1,882735
2,882737
1,882738
1,882739
1,882741
3,882745
1,882747
1,882750
1,882752
5,882756
2,882757
2,882760
2,882763
1,882766
2,882768
1,882769
1,882772
3,882775
1,882778
1,882783
2,882784
3,882787
2,882793
2,882796
1,882799
2,882801
2,882804
1,882807
1,882808
0,882812
1,882816
1,882817
2,882821
1,882824
1,882827
1,882828
2,882830
2,882837
1,882844
1,882853
1,882856
2,882859
2,882868
2,882869
2,882886
2,882891
1,882896
1,882902
1,882910
1,882911
2,882919
2,882923
2,882927
1,882932
2,882934
2,882936
2,882938
2,882941
2,882942
2,882945
1,882951
1,882955
2,882957
2,882959
1,882961
1,882962
1,882963
2,882964
2,882969
1,882971
2,882973
1,882975
1,882977
1,882984
2,882987
1,882989
1,882991
1,882994
5,882999
2,883011
2,883016
2,883018
2,883021
2,883028
1,883035
1,883043
1,883047
6,883062
1,883064
2,883072
2,883077
2,883079
1,883085
2,883102
1,883115
2,883122
2,883127
1,883161
2,883169
0,883175
2,883247
2,883334
2,883364
2,883388
1,883405
2,883418
3,883424
2,883432
2,883438
2,883441
2,883444
6,883446
2,883449
2,883450
2,883455
2,883457
2,883459
2,883463
1,883467
2,883476
1,883483
2,883486
1,883494
2,883498
2,883507
2,883513
3,883522
2,883526
2,883527
2,883546
1,883554
1,883556
2,883565
2,883571
1,883573
2,883597
1,883598
2,883613
2,883619
2,883624
1,883631
3,883632
2,883665
2,883670
2,883696
2,883716
2,883724
2,883730
1,883736
2,883739
1,883753
2,883768
5,883773
1,883790
3,883808
2,883878
3,883931
2,883950
3,883956
2,883979
1,884001
3,884080
2,884112
1,884199
1,884217
1,884225
3,884248
2,884270
2,884303
2,884339
2,884357
2,884384
1,884423
3,884596
2,884624
2,884673
3,884717
4,884766
1,884789
2,884804
1,884848
1,884851
2,884856
1,884859
1,884860
1,884862
1,884867
2,884870
3,884872
2,884873
2,884878
2,884879
2,884881
1,884887
2,884892
0,884895
1,884897
1,884899
2,884908
2,884909
2,884912
2,884913
1,884914
2,884916
2,884919
1,884920
1,884921
1,884924
1,884926
1,884931
2,884932
2,884939
1,884945
1,884947
2,884948
2,884949
1,884951
1,884954
1,884955
0,884960
3,884961
4,884964
1,884965
3,884970
2,884971
1,884976
1,884979
2,884980
2,884987
2,884988
3,884989
1,884995
